player_code,player_id,first_name,second_name,web_name,team_code,position,clean_name
444102,79,Francisco Evanilson,de Lima Barbosa,Evanilson,91,Forward,Evanilson
168636,80,Enes,Ünal,Enes Ünal,91,Forward,Enes Unal
561245,81,Álvaro,Rodríguez,Rodríguez,91,Forward,Rodriguez
483067,566,António João,Pereira de Albuquerque Tavares da Silva,Silva,91,Defender,Silva
494928,573,Juanlu,Sánchez,Sanchez,91,Defender,Sanchez
200720,82,Caoimhín,Kelleher,Kelleher,94,Goalkeeper,Kelleher
507433,83,Hákon Rafn,Valdimarsson,Valdimarsson,94,Goalkeeper,Valdimarsson
432830,84,Nathan,Collins,Collins,94,Defender,Collins
444765,85,Sepp,van den Berg,Van den Berg,94,Defender,Van den Berg
249231,86,Keane,Lewis-Potter,Lewis-Potter,94,Midfielder,Lewis-Potter
191866,87,Kristoffer,Ajer,Ajer,94,Defender,Ajer
607464,88,Michael,Kayode,Kayode,94,Defender,Kayode
194010,89,Rico,Henry,Henry,94,Defender,Henry
472713,90,Aaron,Hickey,Hickey,94,Defender,Hickey
231065,91,Ethan,Pinnock,Pinnock,94,Defender,Pinnock
570241,92,Kim,Ji-soo,Ji-soo,94,Defender,Ji-soo
513086,93,Jannik,Schuster,Schuster,94,Defender,Schuster
513418,94,Kevin,Schade,Schade,94,Midfielder,Schade
533463,95,Dango,Ouattara,O.Dango,94,Midfielder,O.Dango
440089,96,Mikkel,Damsgaard,Damsgaard,94,Midfielder,Damsgaard
207283,97,Mathias,Jensen,Jensen,94,Midfielder,Jensen
204580,98,Vitaly,Janelt,Janelt,94,Midfielder,Janelt
543295,99,Antoni,Milambo,Milambo,94,Midfielder,Milambo
244858,100,Fábio,Freitas Gouveia Carvalho,Carvalho,94,Midfielder,Carvalho
508395,102,Yehor,Yarmoliuk,Yarmoliuk,94,Midfielder,Yarmoliuk
183656,103,Josh,Dasilva,Dasilva,94,Midfielder,Dasilva
444180,105,Jaidon,Anthony,Anthony,94,Midfielder,Anthony
502500,106,Igor Thiago,Nascimento Rodrigues,Thiago,94,Forward,Thiago
593174,107,Kaye,Furo,Furo,94,Forward,Furo
75115,108,Callum,Wilson,Wilson,94,Forward,Wilson
513545,565,Mamadou,Sangaré,Sangaré,94,Midfielder,Sangare
489639,109,Bart,Verbruggen,Verbruggen,36,Goalkeeper,Verbruggen
49262,111,Jason,Steele,Steele,36,Goalkeeper,Steele
231416,113,Ferdi,Kadıoğlu,F.Kadıoğlu,36,Defender,F.Kadıoglu
204120,114,Olivier,Boscagli,Boscagli,36,Defender,Boscagli
465730,115,Maxim,De Cuyper,De Cuyper,36,Defender,De Cuyper
83299,116,Lewis,Dunk,Dunk,36,Defender,Dunk
550090,117,Diego,Coppola,Coppola,36,Defender,Coppola
223434,118,Igor Julio,dos Santos de Paulo,Igor,36,Defender,Igor
451490,119,João Pedro,Loureiro da Costa,Costinha,36,Defender,Costinha
454490,120,Michael,Svoboda,Svoboda,36,Defender,Svoboda
451340,121,Mitoma,Kaoru,Mitoma,36,Midfielder,Mitoma
592031,122,Yankuba,Minteh,Minteh,36,Midfielder,Minteh
532529,123,Jack,Hinshelwood,Hinshelwood,36,Midfielder,Hinshelwood
60307,124,Pascal,Groß,Groß,36,Midfielder,Groß
463067,125,Georginio,Rutter,Georginio,36,Forward,Georginio
219249,126,Matt,O'Riley,O'Riley,36,Midfielder,O'Riley
514254,127,Diego,Gómez Amarilla,Gomez,36,Midfielder,Gomez
536916,128,Facundo,Buonanotte,Buonanotte,36,Midfielder,Buonanotte
509416,129,Yasin,Ayari,Ayari,36,Midfielder,Ayari
467779,130,Mats,Wieffer,Wieffer,36,Defender,Wieffer
535301,131,Carlos,Baleba,Baleba,36,Midfielder,Baleba
597320,132,Harry,Howell,Howell,36,Midfielder,Howell
549074,133,Tom,Watson,Watson,36,Midfielder,Watson
556637,134,Nehemiah,Oriola,Oriola,36,Midfielder,Oriola
700308,135,Zadok,Yohanna,Yohanna,36,Midfielder,Yohanna
608181,137,Stefanos,Tzimas,Tzimas,36,Forward,Tzimas
647850,138,Charalampos,Kostoulas,Kostoulas,36,Forward,Kostoulas
487117,139,Evan,Ferguson,Ferguson,36,Forward,Ferguson
222694,328,Pascal,Struijk,Struijk,36,Defender,Struijk
610799,504,Luka,Vušković,Vuskovic,36,Defender,Vuskovic
244850,40,Morgan,Rogers,Rogers,8,Midfielder,Rogers
56979,101,Jordan,Henderson,Henderson,8,Midfielder,Henderson
50175,136,Danny,Welbeck,Welbeck,8,Forward,Welbeck
215059,140,Robert,Lynch Sánchez,Sánchez,8,Goalkeeper,Sanchez
508479,141,Filip,Jörgensen,Jörgensen,8,Goalkeeper,Jorgensen
225796,142,Reece,James,James,8,Defender,James
180736,143,Trevoh,Chalobah,Chalobah,8,Defender,Chalobah
482609,144,Malo,Gusto,Gusto,8,Defender,Gusto
444463,145,Wesley,Fofana,Fofana,8,Defender,Fofana
242880,146,Benoît,Badiashile Mukinayi,B.Badiashile,8,Defender,B.Badiashile
109646,147,Tosin,Adarabioyo,Tosin,8,Defender,Tosin
551210,148,Jorrel,Hato,Hato,8,Defender,Hato
460028,149,Levi,Samuels Colwill,Colwill,8,Defender,Colwill
574458,150,Mamadou,Sarr,M.Sarr,8,Defender,M.Sarr
577016,151,Josh,Acheampong,Acheampong,8,Defender,Acheampong
620109,152,Marco,Palestra,Palestra,8,Defender,Palestra
220362,153,Axel,Disasi,Disasi,8,Defender,Disasi
244851,154,Cole,Palmer,Palmer,8,Midfielder,Palmer
448047,155,Enzo,Fernández,Enzo,8,Midfielder,Enzo
247632,156,Pedro,Lomba Neto,Neto,8,Midfielder,Neto
624773,157,Estêvão,Almeida de Oliveira Gonçalves,Estêvão,8,Midfielder,Estevao
463936,158,Jamie,Bynoe-Gittens,Gittens,8,Midfielder,Gittens
486672,159,Moisés,Caicedo Corozo,Caicedo,8,Midfielder,Caicedo
514356,161,Roméo,Lavia,Lavia,8,Midfielder,Lavia
491007,163,Dário,Luís Essugo,D.Essugo,8,Midfielder,D.Essugo
593117,164,Geovany,Quenda,Quenda,8,Midfielder,Quenda
475168,165,João Pedro,Junqueira de Jesus,João Pedro,8,Forward,Joao Pedro
517052,166,Nicolas,Jackson,N.Jackson,8,Forward,N.Jackson
463034,167,Liam,Delap,Delap,8,Forward,Delap
499309,168,Marc,Guiu Paz,Marc Guiu,8,Forward,Marc Guiu
567119,169,Shumaira,Mheuka,Mheuka,8,Forward,Mheuka
503037,170,Emmanuel,Emegha,Emegha,8,Forward,Emegha
